metric,rank,start_n,value,status,odd_steps_to_1,max_odd_value,max_up_burst,max_critical_alphabet_run,max_critical_grammar_run,first_break_type
max_critical_alphabet_run,9,645759,37.0,REACHED_1,83,827370449,7,37,5,CRITICAL_FORBIDDEN_GRAMMAR
max_critical_alphabet_run,10,620971,37.0,REACHED_1,97,883013825,7,37,5,CRITICAL_FORBIDDEN_GRAMMAR
max_critical_alphabet_run,11,981287,36.0,REACHED_1,101,883013825,7,36,5,CRITICAL_FORBIDDEN_GRAMMAR
max_critical_alphabet_run,12,931457,36.0,REACHED_1,96,883013825,7,36,5,CRITICAL_FORBIDDEN_GRAMMAR
max_critical_alphabet_run,13,872255,36.0,REACHED_1,103,883013825,7,36,5,CRITICAL_FORBIDDEN_GRAMMAR
max_critical_alphabet_run,14,816815,36.0,REACHED_1,110,883013825,7,36,5,CRITICAL_FORBIDDEN_GRAMMAR
max_critical_alphabet_run,15,775337,36.0,REACHED_1,105,883013825,7,36,5,CRITICAL_FORBIDDEN_GRAMMAR
max_critical_alphabet_run,16,726057,36.0,REACHED_1,112,883013825,7,36,5,CRITICAL_FORBIDDEN_GRAMMAR
max_critical_alphabet_run,17,654191,36.0,REACHED_1,102,883013825,7,36,5,CRITICAL_FORBIDDEN_GRAMMAR
max_critical_alphabet_run,18,581503,36.0,REACHED_1,104,883013825,7,36,5,CRITICAL_FORBIDDEN_GRAMMAR
max_critical_alphabet_run,19,544543,36.0,REACHED_1,111,883013825,7,36,5,CRITICAL_FORBIDDEN_GRAMMAR
max_critical_alphabet_run,20,516891,36.0,REACHED_1,106,883013825,7,36,5,CRITICAL_FORBIDDEN_GRAMMAR
max_critical_alphabet_run,21,436127,36.0,REACHED_1,103,883013825,7,36,5,CRITICAL_FORBIDDEN_GRAMMAR
max_critical_alphabet_run,22,290751,36.0,REACHED_1,104,883013825,7,36,5,CRITICAL_FORBIDDEN_GRAMMAR
max_critical_alphabet_run,23,991935,35.0,REACHED_1,109,1206359885,8,35,7,CRITICAL_FORBIDDEN_GRAMMAR
max_critical_alphabet_run,24,940153,35.0,REACHED_1,111,41777693,5,35,11,CRITICAL_FORBIDDEN_GRAMMAR
max_critical_alphabet_run,25,872761,35.0,REACHED_1,72,827370449,7,35,5,CRITICAL_FORBIDDEN_GRAMMAR
max_critical_alphabet_run,26,822139,35.0,REACHED_1,125,7998895637,11,35,6,CRITICAL_FORBIDDEN_GRAMMAR
max_critical_alphabet_run,27,698593,35.0,REACHED_1,95,883013825,7,35,5,CRITICAL_FORBIDDEN_GRAMMAR
max_critical_alphabet_run,28,260607,35.0,REACHED_1,68,370580453,9,35,5,CRITICAL_FORBIDDEN_GRAMMAR
max_critical_alphabet_run,29,968637,34.0,REACHED_1,82,827370449,7,34,4,DEEP_FOLD
max_critical_alphabet_run,30,955591,34.0,REACHED_1,94,827370449,7,34,4,CRITICAL_FORBIDDEN_GRAMMAR
max_critical_alphabet_run,31,955587,34.0,REACHED_1,94,827370449,7,34,4,DEEP_FOLD
